,Tweet,Time,nb_favorites
235,rt q3 earn call,2022-10-19 20:06:16+00:00,0
236,rt tesla semi deliveri schedul begin decemb 2022,2022-10-19 20:06:10+00:00,0
237,matter take,2022-10-19 18:46:58+00:00,404268
238,vox populi vox dei,2022-10-19 16:59:23+00:00,54536
239,internet airplan feel access internet home,2022-10-19 03:37:07+00:00,100625
240,28 700 bottl exquisit burnt hair perfum alreadi sold 1 300 left uniqu limit edit col,2022-10-19 01:42:18+00:00,47150
241,rt spacex s rideshar program s redesign payload configur offer opportun smallsat provid catch ride,2022-10-18 23:51:00+00:00,0
242,drone war,2022-10-18 14:35:49+00:00,55961
243,except well,2022-10-17 12:32:40+00:00,59509
244,other want donat starlink place need,2022-10-17 06:55:10+00:00,63567
245,deus x machina,2022-10-16 21:51:48+00:00,66651
246,true,2022-10-16 14:26:13+00:00,242973
247,fanci game meme tenni,2022-10-16 05:17:46+00:00,46605
248,hear dyslex kbg agent pot secret,2022-10-16 04:51:35+00:00,93954
249,pitch idea crossov das boot amp boss babi das babi hijink high sea,2022-10-16 03:41:07+00:00,32567
250,hell even though starlink still lose money amp compani get billion taxpay,2022-10-15 18:06:20+00:00,509571
251,rt deploy eutelsat hotbird 13f confirm,2022-10-15 06:11:44+00:00,0
252,rt falcon 9 s first stage land read instruct droneship,2022-10-15 06:11:40+00:00,0
253,rt liftoff,2022-10-15 06:11:37+00:00,0
254,yay,2022-10-14 20:56:54+00:00,25544
255,rt main parachut deploy,2022-10-14 20:56:19+00:00,0
256,rt dragon separ confirm,2022-10-14 16:23:36+00:00,0
257,20 000,2022-10-13 02:50:21+00:00,192811
258,,2022-10-13 00:10:10+00:00,303697
259,rt denni akiko tito first two crewmemb starship s second commerci spaceflight around moon,2022-10-12 23:39:42+00:00,0
260,need differ name basic starlink roam capabl take te,2022-10-12 21:41:33+00:00,26813
261,pleas buy perfum buy twitter,2022-10-12 21:09:41+00:00,581021
262,rt starship 24 booster 7 fulli stack orbit launch pad starbas,2022-10-12 05:18:54+00:00,0
263,10 000 bottl burnt hair sold,2022-10-12 04:42:30+00:00,79310
264,rt view droneship falcon 9 s launch land,2022-10-12 02:37:44+00:00,0
265,5000 bottl burnt hair sold,2022-10-12 00:38:24+00:00,65925
266,,2022-10-11 23:19:19+00:00,241156
267,name mine get fragranc busi inevit even fight long,2022-10-11 23:16:41+00:00,229319
268,finest fragranc earth,2022-10-11 23:06:23+00:00,128619
269,mayb one day final achiev,2022-10-11 20:53:14+00:00,156104
270,,2022-10-11 20:39:00+00:00,68552
271,rt starlink,2022-10-10 21:40:39+00:00,0
272,come soon,2022-10-09 14:18:42+00:00,66051
273,eye eye leav everyon blind,2022-10-09 13:19:37+00:00,96179
274,,2022-10-09 11:12:07+00:00,102620
275,rt falcon 9 s first stage land shortfal gravita droneship 14th launch land booster https,2022-10-08 23:37:39+00:00,0
276,case miss tesla ai day 2022,2022-10-07 14:11:05+00:00,41993
