,Tweet,Time,nb_retweets
376,neuralink progress updat show amp tell octob 31 st halloween,2022-08-22 06:57:42+00:00,6606
377,2 main goal year starship orbit fsd wide releas mani thing cours 2,2022-08-22 06:55:01+00:00,5830
378,,2022-08-21 22:08:02+00:00,15762
379,wide releas fsd beta 10 69 2 price fsd rise 15k north america septemb 5th current,2022-08-21 14:40:36+00:00,3073
380,fsd beta 10 69 start roll tesla owner last night build big step forward 10 69 1 probabl,2022-08-21 14:34:21+00:00,2041
381,rt shot dragon s departur,2022-08-20 04:56:56+00:00,2837
382,nice letter bill nix prof stanford put grad studi perman deferm,2022-08-19 20:07:52+00:00,7470
383,rt watch falcon 9 launch 53 starlink satellit orbit,2022-08-19 19:23:18+00:00,2970
384,rt separ confirm dragon perform three departur burn move away,2022-08-19 15:33:04+00:00,1550
385,rt sky perfect jsat select starship launch superbird 9 communic satellit,2022-08-19 14:10:42+00:00,2989
386,still grate,2022-08-19 06:04:54+00:00,30873
387,,2022-08-19 03:20:47+00:00,16508
388,magic moment,2022-08-17 09:22:09+00:00,5717
389,mom import career,2022-08-17 08:44:21+00:00,78159
390,high recommend,2022-08-17 08:08:12+00:00,1535
391,standup side hustl,2022-08-17 04:59:51+00:00,8640
392,clear support left half republican parti right half democrat parti,2022-08-16 23:56:43+00:00,20603
393,rt first model y deliveri australia new zealand,2022-08-16 18:39:18+00:00,3181
394,congrat giga shanghai make millionth car total tesla made now 3m,2022-08-14 17:26:50+00:00,9994
395,read instruct,2022-08-14 02:08:54+00:00,21494
396,ad 13 inner engin,2022-08-13 04:03:26+00:00,6530
397,anoth orbit plane polar satellit,2022-08-13 03:22:07+00:00,2454
398,mar one day,2022-08-12 05:08:20+00:00,23981
399,seen sex tape,2022-08-12 04:14:03+00:00,46959
400,starship b7 static fire,2022-08-11 16:23:10+00:00,8987
401,fate ironi,2022-08-11 16:02:11+00:00,38244
402,deep thot,2022-08-11 05:40:45+00:00,24682
403,,2022-08-11 05:39:30+00:00,40391
404,8 year ago,2022-08-10 05:34:46+00:00,3004
405,wrote 6 year ago,2022-08-10 05:20:12+00:00,3404
406,,2022-08-10 03:02:16+00:00,12480
407,quit day,2022-08-10 02:59:22+00:00,2583
408,rt static fire test two raptor engin starship 24,2022-08-10 02:59:03+00:00,4419
409,rt team starbas complet singl raptor engin static fire test super heavi booster 7 orbit launch pad,2022-08-10 02:59:00+00:00,3097
410,,2022-08-07 18:37:37+00:00,10262
411,fsd beta 10 69 drop 8 20,2022-08-07 07:32:26+00:00,5024
412,saxon jame musk,2022-08-06 20:51:30+00:00,3696
413,less 5 twitter daili user fake spam,2022-08-06 16:18:59+00:00,7124
414,rt 2022 annual sharehold meet,2022-08-06 15:37:13+00:00,1428
415,move rocket launch pad,2022-08-06 01:23:22+00:00,9024
416,hustl starship booster 7 back pad test outer ring 20 engin,2022-08-05 18:56:10+00:00,4040
417,full send podcast,2022-08-05 15:13:31+00:00,4640
418,thank good senat manchin,2022-08-05 06:34:11+00:00,4616
419,rt livestream 2022 annual tesla sharehold meet today 4 30pm ct,2022-08-04 19:23:21+00:00,2144
420,ratio digit biolog comput grow fast worth track,2022-08-02 23:52:03+00:00,6753
421,came pretti good cnbc piec spacex amp starship,2022-08-02 22:00:38+00:00,3333
422,worth read close match philosophi,2022-08-02 05:15:23+00:00,5079
423,still time vote,2022-08-01 22:19:04+00:00,2206
424,,2022-08-01 21:37:42+00:00,16000
425,thanksgiv last year watch one mani episod vike,2022-08-01 06:05:29+00:00,13610
426,realiti actual alien soap opera rate,2022-07-31 22:32:36+00:00,10832
427,mayb free peopl jail weed,2022-07-31 14:22:14+00:00,44771
428,race set harley quinn,2022-07-31 02:27:16+00:00,2713
429,peopl nonsens person littl nonsens,2022-07-30 14:20:06+00:00,14515
430,tesla twitter gt twizzler,2022-07-30 14:01:33+00:00,17564
431,interact twitter account seem much lower recent week amp day accur,2022-07-30 13:51:37+00:00,7686
432,saxon,2022-07-30 07:10:13+00:00,3135
433,friend made 2 year ago,2022-07-30 02:13:42+00:00,4797
